Time,Channel A,Channel B
(ms),(mV),(V)

-10.01028158,5.25528700,-6.17938800
-10.00388158,5.25528700,-6.17938800
-9.99748158,5.25528700,-6.17938800
-9.99108158,7.04367200,-6.17938800
-9.98468158,10.62044000,-6.17938800
-9.97828158,8.83205600,-6.17938800
-9.97188158,12.40883000,-6.17938800
-9.96548158,8.83205600,-6.08935800
-9.95908158,8.83205600,-6.17938800
-9.95268158,7.04367200,-6.17938800
-9.94628158,5.25528700,-6.17938800
-9.93988158,5.25528700,-6.08935800
-9.93348158,5.25528700,-6.17938800
-9.92708158,7.04367200,-6.17938800
-9.92068158,8.83205600,-6.17938800
-9.91428158,7.04367200,-6.17938800
-9.90788158,7.04367200,-6.17938800
-9.90148158,5.25528700,-6.17938800
-9.89508158,-0.10986660,-6.08935800
-9.88868158,-1.89825100,-6.17938800
-9.88228159,-3.69274000,-6.17938800
-9.87588159,-3.69274000,-6.17938800
-9.86948159,-5.48112400,-6.17938800
-9.86308159,-1.89825100,-6.17938800
-9.85668159,-0.10986660,-6.17938800
-9.85028159,1.67851800,-6.17938800
-9.84388159,1.67851800,-6.17938800
-9.83748159,3.46690200,-6.17938800
-9.83108159,3.46690200,-6.17938800
-9.82468159,3.46690200,-6.17938800
-9.81828159,1.67851800,-6.17938800
-9.81188159,-1.89825100,-6.17938800
-9.80548159,-3.69274000,-6.17938800
-9.79908159,-1.89825100,-6.17938800
-9.79268159,-0.10986660,-6.17938800
-9.78628159,3.46690200,-6.17938800
-9.77988159,5.25528700,-6.17938800
-9.77348159,7.04367200,-6.17938800
-9.76708159,8.83205600,-6.17938800
-9.76068159,8.83205600,-6.17938800
-9.75428159,8.83205600,-6.17938800
-9.74788159,8.83205600,-6.17938800
-9.74148159,7.04367200,-6.17938800
-9.73508159,5.25528700,-6.17938800
-9.72868159,5.25528700,-6.17938800
-9.72228159,5.25528700,-6.17938800
-9.71588160,7.04367200,-6.17938800
-9.70948160,8.83205600,-6.17938800
-9.70308160,8.83205600,-6.17938800
-9.69668160,8.83205600,-6.17938800
-9.69028160,8.83205600,-6.17938800
-9.68388160,5.25528700,-6.17938800
-9.67748160,1.67851800,-6.17938800
-9.67108160,1.67851800,-6.17938800
-9.66468160,-0.10986660,-6.17938800
-9.65828160,-0.10986660,-6.17938800
-9.65188160,1.67851800,-6.17938800
-9.64548160,1.67851800,-6.17938800
-9.63908160,1.67851800,-6.17938800
-9.63268160,3.46690200,-6.17938800
-9.62628160,5.25528700,-6.17938800
-9.61988160,5.25528700,-6.17938800
-9.61348160,7.04367200,-6.17938800
-9.60708160,7.04367200,-6.17938800
-9.60068160,7.04367200,-6.17938800
-9.59428160,7.04367200,-6.17938800
-9.58788160,3.46690200,-6.17938800
-9.58148160,5.25528700,-6.17938800
-9.57508160,8.83205600,-6.17938800
-9.56868160,8.83205600,-6.17938800
-9.56228160,7.04367200,-6.17938800
-9.55588160,7.04367200,-6.17938800
-9.54948161,7.04367200,-6.17938800
-9.54308161,5.25528700,-6.17938800
-9.53668161,1.67851800,-6.17938800
-9.53028161,-1.89825100,-6.17938800
-9.52388161,-5.48112400,-6.17938800
-9.51748161,-5.48112400,-6.17938800
-9.51108161,-5.48112400,-6.08935800
-9.50468161,-3.69274000,-6.17938800
-9.49828161,-1.89825100,-6.17938800
-9.49188161,-0.10986660,-6.17938800
-9.48548161,1.67851800,-6.17938800
-9.47908161,1.67851800,-6.17938800
-9.47268161,1.67851800,-6.17938800
-9.46628161,1.67851800,-6.17938800
-9.45988161,1.67851800,-6.17938800
-9.45348161,3.46690200,-6.08935800
-9.44708161,5.25528700,-6.17938800
-9.44068161,7.04367200,-6.08935800
-9.43428161,10.62044000,-6.08935800
-9.42788161,8.83205600,-6.17938800
-9.42148161,8.83205600,-6.17938800
-9.41508161,8.83205600,-6.08935800
-9.40868161,7.04367200,-6.17938800
-9.40228161,7.04367200,-6.17938800
-9.39588161,1.67851800,-6.17938800
-9.38948161,3.46690200,-6.17938800
-9.38308161,7.04367200,-6.17938800
-9.37668162,8.83205600,-6.17938800
-9.37028162,10.62044000,-6.17938800
-9.36388162,14.19721000,-6.08935800
-9.35748162,15.98559000,-6.17938800
-9.35108162,14.19721000,-6.08935800
-9.34468162,14.19721000,-6.17938800
-9.33828162,14.19721000,-6.08935800
-9.33188162,12.40883000,-6.08935800
-9.32548162,10.62044000,-6.08935800
-9.31908162,8.83205600,-6.17938800
-9.31268162,8.83205600,-6.17938800
-9.30628162,10.62044000,-6.08935800
-9.29988162,14.19721000,-6.08935800
-9.29348162,15.98559000,-6.17938800
-9.28708162,14.19721000,-6.17938800
-9.28068162,14.19721000,-6.17938800
-9.27428162,14.19721000,-6.17938800
-9.26788162,12.40883000,-6.17938800
-9.26148162,8.83205600,-6.08935800
-9.25508162,5.25528700,-6.08935800
-9.24868162,5.25528700,-6.08935800
-9.24228162,1.67851800,-6.17938800
-9.23588162,1.67851800,-6.08935800
-9.22948162,5.25528700,-6.08935800
-9.22308162,5.25528700,-6.17938800
-9.21668162,5.25528700,-6.08935800
-9.21028163,5.25528700,-6.17938800
-9.20388163,5.25528700,-6.08935800
-9.19748163,5.25528700,-6.08935800
-9.19108163,5.25528700,-6.08935800
-9.18468163,3.46690200,-6.08935800
-9.17828163,5.25528700,-6.08935800
-9.17188163,5.25528700,-6.08935800
-9.16548163,5.25528700,-6.08935800
-9.15908163,7.04367200,-6.08935800
-9.15268163,8.83205600,-6.17938800
-9.14628163,8.83205600,-6.08935800
-9.13988163,8.83205600,-6.08935800
-9.13348163,10.62044000,-6.08935800
-9.12708163,8.83205600,-6.17938800
-9.12068163,5.25528700,-6.08935800
-9.11428163,5.25528700,-6.08935800
-9.10788163,1.67851800,-6.08935800
-9.10148163,-0.10986660,-6.08935800
-9.09508163,-1.89825100,-6.08935800
-9.08868163,-1.89825100,-6.08935800
-9.08228163,-1.89825100,-6.08935800
-9.07588163,-3.69274000,-6.08935800
-9.06948163,-3.69274000,-6.08935800
-9.06308163,-1.89825100,-6.08935800
-9.05668163,-1.89825100,-6.08935800
-9.05028163,-1.89825100,-6.08935800
-9.04388164,-0.10986660,-6.08935800
-9.03748164,-0.10986660,-6.08935800
-9.03108164,1.67851800,-6.08935800
-9.02468164,5.25528700,-6.17938800
-9.01828164,8.83205600,-6.08935800
