_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	58	0.966854	100	0	43.83	1.87	1.71
_D:	0	59	0.965829	100	0	43.83	2	1.8
_D:	0	60	0.967803	100	0	43.83	1.83	1.69
_D:	0	61	0.966378	100	0	43.83	1.85	1.72
_D:	0	62	0.965999	100	0	43.83	1.78	1.66
_D:	0	63	0.967415	100	0	43.83	1.82	1.69
_D:	0	64	0.966985	100	0	43.83	1.81	1.67
_D:	0	65	0.967242	100	0	43.83	1.81	1.67
_D:	0	66	0.966463	100	0	43.83	1.94	1.72
_D:	0	67	0.967011	100	0	43.83	2.2	1.98
_D:	0	68	0.966176	100	0	43.83	1.98	1.8
_D:	0	69	0.967186	100	0	43.83	1.81	1.68
_D:	0	70	0.966106	100	0	43.83	1.79	1.66
_D:	0	71	0.978174	100	0	43.83	1.79	1.65
_D:	0	72	0.966431	100	0	43.83	1.8	1.67
_D:	0	73	0.969635	100	0	43.83	1.78	1.65
_D:	0	74	0.965613	100	0	43.81	1.79	1.66
_D:	0	75	0.966566	100	0	43.83	1.81	1.68
_D:	0	76	0.965527	100	0	43.63	1.84	1.7
_D:	0	77	0.967117	100	0	43.79	2.05	1.87
_D:	0	78	0.966047	100	0	43.75	1.81	1.68
_D:	0	79	0.966642	100	0	42.6	1.75	1.62
_D:	0	80	0.966585	100	0	43.83	1.79	1.66
_D:	0	81	0.965585	100	0	43.83	1.82	1.68
_D:	0	82	0.966687	100	0	43.83	1.8	1.67
_D:	0	83	0.966806	100	0	42.85	1.81	1.67
_D:	0	84	0.965563	100	0	41.35	1.86	1.68
_D:	0	85	0.965955	100	0	43.83	1.8	1.66
_D:	0	86	0.965087	100	0	43.83	1.81	1.68
_D:	0	87	0.965955	100	0	43.27	1.83	1.68
_D:	0	88	0.966256	100	0	43.83	1.81	1.68
_D:	0	89	0.965944	100	0	43.6	1.81	1.67
_D:	0	90	0.965844	100	0	42.95	2.24	1.96
_D:	0	91	0.965953	100	0	43.61	2.38	2.04
_D:	0	92	0.965717	100	0	43.83	11.89	8.12
_D:	0	93	0.964446	100	0	43.31	11.87	8.06
_D:	0	94	0.964994	100	0	43.27	9.93	5.63
_D:	0	95	0.965777	100	0	43.83	1.84	1.7
_D:	0	96	0.965949	100	0	43.56	1.91	1.74
_D:	0	97	0.965384	100	0	41.27	1.73	1.6
_D:	0	98	0.965452	100	0	43.55	1.77	1.65
_D:	0	99	0.964848	100	0	43.11	1.76	1.63
