_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%fsa_err_sum
_D:	3	431	0.779004	73	0	29.0422	3.22	3.15	0
_D:	3	432	0.611925	47	0	27.4706	2.69	2.64	1
_D:	3	433	0.650986	50	0	27.5809	2.55	2.52	1
_D:	3	434	0.818205	94	0	26.6274	4.27	4.16	3
_D:	3	435	0.814948	93	0	25.0708	3.81	3.74	2
_D:	3	436	0.814469	78	0	26.0115	3.41	3.36	1
_D:	3	437	0.827429	79	0	28.1494	3.37	3.3	1
_D:	3	438	0.728179	80	0	29.7358	4.04	3.95	3
_D:	3	439	0.744414	78	0	27.3212	3.71	3.63	1
_D:	3	440	0.839808	84	0	28.55	3.68	3.6	3
_D:	3	441	0.96292	96	0	28.5111	3.5	3.42	1
_D:	3	442	0.832983	76	0	32	3.49	3.42	4
_D:	3	443	0.89455	79	0	30.6415	3.24	3.18	2
_D:	3	444	0.774456	74	0	30.5872	3.67	3.58	3
_D:	3	445	0.855453	81	0	28.9535	3.44	3.4	3
_D:	3	446	0.819345	78	0	30.2343	3.82	3.76	3
_D:	3	447	0.944504	92	0	30.08	3.7	3.63	3
_D:	3	448	0.790618	65	0	32.2838	3.31	3.26	1
_D:	3	449	0.830247	68	0	30.5203	3.15	3.05	1
_D:	3	450	0.83193	74	0	32.1069	3.64	3.57	4
_D:	3	451	0.724724	62	0	29.5346	3.28	3.2	1
_D:	3	452	0.67876	64	0	29.5965	3.64	3.58	2
_D:	3	453	0.775606	72	0	27.4795	3.34	3.27	4
_D:	3	454	0.694609	56	0	28.0959	3.09	3.04	1
_D:	3	455	0.83171	70	0	28.589	2.87	2.78	3
_D:	3	456	0.883125	88	0	29.875	3.7	3.63	5
_D:	3	457	0.82275	79	0	28.9545	3.57	3.49	2
_D:	3	458	0.809228	75	0	28.2256	3.38	3.32	4
_D:	3	459	0.840208	77	0	29.8232	3.21	3.18	3
_D:	3	460	0.799012	79	0	29.3807	3.74	3.66	3
_D:	3	461	0.826203	79	0	30.1875	3.61	3.57	2
_D:	3	462	0.795298	92	0	26.7847	4.2	4.13	1
_D:	3	463	0.847333	95	0	26.823	3.94	3.86	3
_D:	3	464	0.709077	66	0	30.75	3.55	3.5	1
_D:	3	465	0.877345	81	0	28.7262	3.31	3.29	1
_D:	3	466	0.79018	72	0	29.5767	3.5	3.43	2
_D:	3	467	0.769723	69	0	28.4785	3.26	3.23	1
_D:	3	468	0.946923	86	0	31.2393	3.58	3.51	1
_D:	3	469	0.792177	73	0	33.0675	3.46	3.41	4
_D:	3	470	0.830115	94	0	28.7772	4.17	4.13	4
_D:	3	471	0.777201	86	0	28.0446	3.95	3.89	0
_D:	3	472	0.674138	66	0	28.0955	3.65	3.58	2
_D:	3	473	0.651646	63	0	26.1292	3.38	3.35	0
_D:	3	474	0.851703	90	0	30.1702	4.03	3.97	2
_D:	3	475	0.808859	83	0	28.8777	3.73	3.66	1
_D:	3	476	0.84037	86	0	30.1749	3.98	3.9	2
_D:	3	477	0.709109	72	0	30.5027	3.84	3.81	1
_D:	3	478	0.749759	68	0	30.6463	3.61	3.55	2
_D:	3	479	0.711485	64	0	29.9756	3.45	3.36	1
_D:	3	480	0.801276	80	0	28.1923	3.8	3.74	3
_D:	3	481	0.787834	78	0	28.8956	3.7	3.63	2
_D:	3	482	0.742416	74	0	30.6298	3.96	3.9	3
_D:	3	483	0.650909	65	0	27.105	3.54	3.44	1
_D:	3	484	0.713118	56	0	29.4196	3.07	3.01	0
_D:	3	485	0.703221	55	0	26.4825	2.71	2.65	1
_D:	3	486	0.799406	72	0	27.8659	3.3	3.23	3
_D:	3	487	0.809088	73	0	26.2439	3.08	3	0
_D:	3	488	0.704143	77	0	27.3927	3.96	3.89	4
_D:	3	489	0.774167	80	0	28.1728	3.79	3.74	2
_D:	3	490	0.758602	61	0	28.8601	2.97	2.9	3
_D:	3	491	0.840376	67	0	31.3357	2.97	2.95	3
_D:	3	492	0.728272	91	0	28.0495	4.5	4.43	4
_D:	3	493	0.794476	95	0	27.7613	4.25	4.2	2
_D:	3	494	0.774972	74	0	29.2159	3.74	3.66	1
_D:	3	495	0.764653	74	0	29.642	3.6	3.53	2
_D:	3	496	0.842497	74	0	30.7707	3.45	3.35	2
_D:	3	497	0.835812	73	0	30.6497	3.3	3.25	2
_D:	3	498	0.767955	74	0	30.2209	3.8	3.72	3
_D:	3	499	0.810367	76	0	28.8605	3.52	3.45	1
_D:	3	500	0.819913	86	0	31.4194	4.16	4.05	1
_D:	3	501	0.922808	96	0	31.7796	3.99	3.93	4
_D:	3	502	0.846747	76	0	30.0556	3.61	3.56	1
_D:	3	503	0.777329	71	0	30.037	3.34	3.28	2
_D:	3	504	0.810065	77	0	30.8393	3.74	3.65	2
_D:	3	505	0.821541	76	0	29.6131	3.44	3.38	2
_D:	3	506	0.844728	86	0	30.2582	4.04	3.97	2
_D:	3	507	0.809789	82	0	30.8791	3.84	3.75	3
_D:	3	508	0.828468	93	0	28.7067	4.37	4.3	2
_D:	3	509	0.892575	101	0	28.625	4.08	4.02	4
_D:	3	510	0.710963	67	0	28.6235	3.47	3.41	1
_D:	3	511	0.788987	74	0	27.6353	3.31	3.24	1
_D:	3	512	0.712466	71	0	27.6796	3.61	3.53	2
_D:	3	513	0.71796	70	0	26.9669	3.37	3.3	1
_D:	3	514	1.00485	103	0	25.7196	3.66	3.6	2
_D:	3	515	0.934296	96	0	27.0794	3.57	3.5	3
_D:	3	516	0.87142	93	0	29.1099	3.95	3.87	2
_D:	3	517	0.807441	87	0	26.5131	3.6	3.52	2
_D:	3	518	0.881483	91	0	27.9305	3.8	3.7	1
_D:	3	519	0.782634	82	0	28.385	3.64	3.61	2
_D:	3	520	0.801434	97	0	27.0091	4.34	4.26	2
_D:	3	521	0.756409	93	0	25.8416	4.09	4.02	1
_D:	3	522	0.88915	99	0	28.9158	4.17	4.08	2
_D:	3	523	0.781537	87	0	27.5149	3.91	3.83	1
_D:	3	524	0.787101	81	0	29.3011	3.87	3.83	0
_D:	3	525	0.815592	84	0	27.5161	3.53	3.46	4
_D:	3	526	0.818416	83	0	30.0707	3.96	3.92	1
_D:	3	527	0.776823	81	0	29.6576	3.78	3.72	1
_D:	3	528	0.780436	75	0	28.5872	3.66	3.6	1
_D:	3	529	0.812364	76	0	30.0523	3.55	3.45	2
_D:	3	530	0.772763	77	0	30.8539	3.89	3.85	0
_D:	3	531	0.870526	87	0	31.2416	3.74	3.66	0
_D:	3	532	0.711268	61	0	28.8013	3.2	3.16	1
_D:	3	533	0.745515	63	0	27.8874	2.99	2.94	0
_D:	3	534	0.788138	87	0	28.645	4.08	3.99	3
_D:	3	535	0.782155	87	0	30.245	4.06	4	2
_D:	3	536	0.814443	81	0	27.1538	3.65	3.58	1
_D:	3	537	0.710148	71	0	26.7967	3.5	3.4	2
_D:	3	538	0.886489	78	0	30.816	3.6	3.53	2
_D:	3	539	0.722105	67	0	28.6258	3.23	3.2	1
_D:	3	540	0.825731	91	0	30.6816	4.36	4.32	4
_D:	3	541	0.800025	87	0	29.0249	3.96	3.91	3
_D:	3	542	0.833448	77	0	29.6627	3.71	3.66	0
_D:	3	543	0.811828	76	0	29.142	3.44	3.38	0
_D:	3	544	0.670629	61	0	28.8012	3.57	3.5	1
_D:	3	545	0.775219	70	0	27.0422	3.2	3.15	2
_D:	3	546	0.877074	86	0	27.9831	3.67	3.6	4
_D:	3	547	0.7973	76	0	26.8079	3.36	3.3	0
_D:	3	548	0.686877	67	0	27.7045	3.61	3.53	0
_D:	3	549	0.666244	65	0	28.1477	3.49	3.44	0
_D:	3	550	0.840346	80	0	29.3931	3.54	3.49	4
_D:	3	551	0.668858	64	0	28.2081	3.42	3.38	2
_D:	3	552	0.690266	64	0	25.9697	3.15	3.08	1
_D:	3	553	0.663404	60	0	23.6788	2.86	2.84	1
_D:	3	554	0.707493	72	0	26.7065	3.6	3.54	2
_D:	3	555	0.620982	63	0	24.625	3.3	3.24	0
_D:	3	556	0.778851	78	0	24.4378	3.5	3.44	3
_D:	3	557	0.783189	79	0	25.8216	3.37	3.32	1
_D:	3	558	0.807068	87	0	24.6888	3.65	3.58	1
_D:	3	559	0.839198	89	0	26.8776	3.6	3.52	0
_D:	3	560	0.742496	69	0	26.5542	3.28	3.23	3
_D:	3	561	0.693219	63	0	25.8494	3.07	3.04	0
_D:	3	562	0.715962	82	0	27.622	4.2	4.14	1
_D:	3	563	0.719029	81	0	27.9713	3.97	3.9	6
_D:	3	564	0.75453	68	0	24.5476	3.17	3.12	0
_D:	3	565	0.759186	70	0	24.4048	2.98	2.95	2
_D:	3	566	0.768801	64	0	24.6	2.85	2.81	0
_D:	3	567	0.822871	68	0	24.4467	2.69	2.64	0
_D:	3	568	0.704909	70	0	26.3966	3.57	3.53	0
_D:	3	569	0.798998	80	0	28.3073	3.46	3.41	2
_D:	3	570	0.824292	85	0	27.6263	3.85	3.8	1
_D:	3	571	0.916521	96	0	27.1684	3.6	3.55	2
_D:	3	572	0.8498	75	0	24.9938	3.04	2.99	1
_D:	3	573	0.793413	72	0	27.0683	3.01	2.94	0
_D:	3	574	0.764562	86	0	25.9024	4.07	3.97	3
_D:	3	575	0.79973	89	0	25.9756	3.77	3.74	0
_D:	3	576	0.810312	82	0	28.2077	3.71	3.64	3
_D:	3	577	0.841658	85	0	28.7814	3.63	3.58	0
_D:	3	578	0.973378	84	0	27.9625	3.26	3.18	2
_D:	3	579	0.846377	75	0	28.175	3.13	3.07	1
_D:	3	580	0.799018	82	0	26.173	3.62	3.56	3
_D:	3	581	0.685797	70	0	25.4054	3.37	3.32	1
_D:	3	582	0.858494	80	0	25.7706	3.29	3.22	1
_D:	3	583	0.836158	79	0	26.0647	3.12	3.08	1
_D:	3	584	0.715178	72	0	29.6648	3.63	3.56	3
_D:	3	585	0.780535	76	0	27.5114	3.27	3.21	2
_D:	3	586	0.773938	67	0	26.1548	3.07	2.99	1
_D:	3	587	0.765811	66	0	26.4774	2.82	2.78	1
_D:	3	588	0.767216	66	0	27.2222	3.06	3.01	2
_D:	3	589	0.735054	62	0	26.4575	2.9	2.86	2
_D:	3	590	0.937304	97	0	28.2181	3.89	3.82	2
_D:	3	591	0.881964	91	0	27.8032	3.62	3.54	1
_D:	3	592	0.791219	75	0	26.9767	3.39	3.31	1
_D:	3	593	0.801269	75	0	25.5058	3.17	3.09	1
_D:	3	594	0.700669	67	0	28.7784	3.66	3.58	3
_D:	3	595	0.757232	73	0	27.5625	3.4	3.34	2
_D:	3	596	0.770924	77	0	27.7293	3.82	3.75	0
_D:	3	597	0.787089	77	0	26.8453	3.4	3.36	1
_D:	3	598	0.758684	73	0	27.6609	3.5	3.43	2
_D:	3	599	0.790428	74	0	27.3046	3.32	3.25	0
_D:	3	600	0.778979	71	0	27.7866	3.29	3.24	1
_D:	3	601	0.792008	73	0	28.4268	3.14	3.07	0
_D:	3	602	0.747368	71	0	27.6257	3.41	3.37	2
_D:	3	603	0.794657	74	0	26.2632	3.16	3.1	0
_D:	3	604	0.788452	69	0	26.2125	3.09	3.04	1
_D:	3	605	0.72776	64	0	25.9	2.91	2.85	2
_D:	3	606	0.845232	90	0	26.456	3.76	3.68	2
_D:	3	607	0.839608	89	0	24.8756	3.42	3.38	1
_D:	3	608	0.709851	55	0	26.1528	2.79	2.78	1
_D:	3	609	0.772517	61	0	24.9097	2.56	2.54	2
_D:	3	610	0.787238	74	0	25.7186	3.15	3.12	4
_D:	3	611	0.74843	69	0	25.4431	3.03	2.98	3
_D:	3	612	0.766244	85	0	26.2915	3.82	3.74	1
_D:	3	613	0.779432	88	0	25.7487	3.63	3.6	4
_D:	3	614	0.82705	92	0	26.0833	3.88	3.81	3
_D:	3	615	0.832536	92	0	26.4412	3.78	3.72	1
_D:	3	616	0.722761	67	0	29.1488	3.49	3.42	2
_D:	3	617	0.774805	72	0	29.7262	3.4	3.34	2
_D:	3	618	0.710367	69	0	28.1989	3.66	3.59	0
_D:	3	619	0.696071	68	0	28.2102	3.5	3.46	0
_D:	3	620	0.725468	63	0	26.6226	3.2	3.12	0
_D:	3	621	0.699629	62	0	26.1258	3.04	2.98	0
