_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%fsa_err_sum
_D:	3	98	0.786443	84	0	36.0529	4.98	4.9	6
_D:	3	99	0.886765	91	0	36.0053	4.75	4.64	3
_D:	3	100	0.770586	76	0	33.7747	4.58	4.52	5
_D:	3	101	0.784231	80	0	34.6813	4.53	4.45	3
_D:	3	102	0.903531	96	0	37.299	5.19	5.1	3
_D:	3	103	0.66868	73	0	35.8144	4.82	4.72	4
_D:	3	104	0.755627	81	0	38.3021	5.27	5.16	5
_D:	3	105	0.895313	94	0	39.4115	5.26	5.16	4
_D:	3	106	0.754738	66	0	34.981	4.13	4.05	3
_D:	3	107	0.792502	68	0	34.9937	3.98	3.92	4
_D:	3	108	0.79538	77	0	35.5621	4.3	4.23	4
_D:	3	109	0.852083	80	0	32.8698	3.97	3.89	3
_D:	3	110	0.89831	85	0	36.0994	4.49	4.39	3
_D:	3	111	0.636303	61	0	35.7661	4	3.94	5
_D:	3	112	0.762479	76	0	34.8708	4.48	4.42	4
_D:	3	113	0.825415	81	0	33.3989	4.21	4.13	4
_D:	3	114	0.885024	85	0	34.6114	4.59	4.5	4
_D:	3	115	0.742381	73	0	34.2	4.18	4.11	3
_D:	3	116	0.858182	81	0	33.0714	4	3.95	4
_D:	3	117	0.873061	82	0	34.1488	3.96	3.9	2
_D:	3	118	0.814752	73	0	33.9515	4.03	3.93	6
_D:	3	119	0.651153	59	0	31.7697	3.77	3.71	2
_D:	3	120	0.820153	70	0	32.7115	3.79	3.71	2
_D:	3	121	0.829393	71	0	33.5513	3.59	3.54	4
_D:	3	122	0.807173	83	0	35.4731	4.94	4.84	3
_D:	3	123	0.749316	77	0	37.6989	4.89	4.8	4
_D:	3	124	0.828329	89	0	35.1122	5	4.95	1
_D:	3	125	0.799267	87	0	35.9847	4.88	4.82	6
_D:	3	126	0.651692	60	0	31.645	3.94	3.85	1
_D:	3	127	0.698745	65	0	34.7278	4.02	3.94	2
_D:	3	128	0.780639	65	0	34.5676	3.68	3.64	3
_D:	3	129	0.737208	61	0	33.2703	3.42	3.33	2
_D:	3	130	0.849692	92	0	35.3109	5.03	4.95	4
_D:	3	131	0.811599	88	0	35.4249	4.85	4.76	5
_D:	3	132	0.845424	92	0	33.1347	4.68	4.62	2
_D:	3	133	0.841102	88	0	32.9793	4.48	4.42	5
_D:	3	134	0.748173	72	0	33.5439	4.15	4.04	4
_D:	3	135	0.748564	72	0	31.5965	3.91	3.84	2
_D:	3	136	0.865721	94	0	34.1558	5.06	4.95	4
_D:	3	137	0.75841	83	0	32.2714	4.7	4.61	4
_D:	3	138	0.760078	76	0	31.375	4.34	4.29	4
_D:	3	139	0.732099	74	0	31.625	4.16	4.07	3
_D:	3	140	0.715555	67	0	29.4311	3.67	3.62	5
_D:	3	141	0.728614	68	0	28.976	3.45	3.4	2
_D:	3	142	0.753677	74	0	30.0387	4.1	4	5
_D:	3	143	0.865985	86	0	31.1989	3.96	3.88	5
_D:	3	144	0.785059	84	0	31.8929	4.58	4.52	4
_D:	3	145	0.823975	87	0	31.1071	4.36	4.27	3
_D:	3	146	0.876263	101	0	31.4737	5	4.91	4
_D:	3	147	0.747699	86	0	33	4.95	4.86	3
_D:	3	148	0.858068	84	0	31.8857	4.06	4	3
_D:	3	149	0.858359	84	0	34.16	4.1	4.01	4
_D:	3	150	0.843059	82	0	33.9535	4.2	4.13	1
_D:	3	151	0.795848	77	0	33.5291	3.99	3.91	3
_D:	3	152	0.832853	87	0	35.1885	4.89	4.82	8
_D:	3	153	0.671489	71	0	34.822	4.71	4.64	3
_D:	3	154	0.840205	91	0	32.3918	4.66	4.58	2
_D:	3	155	0.812736	89	0	33.8763	4.58	4.48	1
_D:	3	156	0.687551	77	0	35.297	5.1	5.03	4
_D:	3	157	0.791318	88	0	35.297	4.83	4.74	5
_D:	3	158	0.806993	83	0	30.8486	4.28	4.19	2
_D:	3	159	0.798775	82	0	30.3568	4.01	3.94	3
_D:	3	160	0.737823	59	0	33.0857	3.31	3.27	4
_D:	3	161	0.787215	62	0	30.8286	3.05	2.96	3
_D:	3	162	0.735503	78	0	31.2366	4.31	4.25	0
_D:	3	163	0.754221	78	0	32.9731	4.21	4.12	3
_D:	3	164	0.818315	82	0	33.3296	4.21	4.14	3
_D:	3	165	0.756075	75	0	32.9274	4.01	3.95	2
_D:	3	166	0.752948	80	0	30.3927	4.25	4.18	1
_D:	3	167	0.8222	87	0	31.4188	4.14	4.09	6
_D:	3	168	0.764245	69	0	32.2025	3.72	3.65	2
_D:	3	169	0.75918	69	0	30.8896	3.47	3.4	2
_D:	3	170	0.674278	57	0	32.0067	3.41	3.34	2
_D:	3	171	0.684494	57	0	31.12	3.23	3.18	1
_D:	3	172	0.800034	75	0	30.7989	4	3.94	3
_D:	3	173	0.743732	71	0	32.5862	3.84	3.79	3
_D:	3	174	0.897654	94	0	32.383	4.33	4.25	3
_D:	3	175	0.754166	80	0	35.0851	4.44	4.38	3
_D:	3	176	0.853207	86	0	32.3757	4.24	4.14	3
_D:	3	177	0.889198	90	0	33.6961	4.16	4.08	4
_D:	3	178	0.848323	72	0	32.2532	3.56	3.48	2
_D:	3	179	0.826997	69	0	31.9221	3.34	3.26	3
_D:	3	180	0.863595	92	0	33.7158	4.47	4.37	2
_D:	3	181	0.826311	90	0	33.9	4.34	4.24	3
_D:	3	182	0.757455	65	0	29.9682	3.54	3.46	3
_D:	3	183	0.764607	68	0	33.465	3.56	3.51	1
_D:	3	184	0.722057	69	0	31.8466	4.15	4.1	1
_D:	3	185	0.735809	72	0	32.2727	3.93	3.86	3
_D:	3	186	0.757794	70	0	32.0671	3.78	3.73	3
_D:	3	187	0.82431	75	0	32.25	3.63	3.57	2
_D:	3	188	0.80678	78	0	31.4882	3.89	3.82	3
_D:	3	189	0.780533	73	0	30.6824	3.63	3.52	4
_D:	3	190	0.701038	72	0	31.6631	4.23	4.18	2
_D:	3	191	0.856108	90	0	32.6524	4.14	4.08	3
