Time,Channel A,Channel B
(ms),(mV),(V)

-10.01357567,-5.39872500,-6.17938800
-10.00717567,-0.88808860,-6.17938800
-10.00077567,-7.20236800,-6.17938800
-9.99437567,-2.69173300,-6.17938800
-9.98797567,-8.10571600,-6.08935800
-9.98157567,-2.69173300,-6.17938800
-9.97517567,-8.10571600,-6.17938800
-9.96877567,-3.59508000,-6.17938800
-9.96237567,-7.20236800,-6.17938800
-9.95597567,-2.69173300,-6.17938800
-9.94957567,-7.20236800,-6.17938800
-9.94317567,-3.59508000,-6.17938800
-9.93677567,-5.39872500,-6.17938800
-9.93037567,-1.79143600,-6.17938800
-9.92397567,-3.59508000,-6.17938800
-9.91757567,-4.49537700,-6.17938800
-9.91117567,-2.69173300,-6.17938800
-9.90477567,-5.39872500,-6.17938800
-9.89837567,-3.59508000,-6.17938800
-9.89197567,-7.20236800,-6.17938800
-9.88557567,-0.88808860,-6.17938800
-9.87917567,-8.10571600,-6.17938800
-9.87277567,-1.79143600,-6.17938800
-9.86637567,-7.20236800,-6.17938800
-9.85997567,-1.79143600,-6.17938800
-9.85357568,-7.20236800,-6.17938800
-9.84717568,-2.69173300,-6.17938800
-9.84077568,-6.30207200,-6.17938800
-9.83437568,-3.59508000,-6.17938800
-9.82797568,-6.30207200,-6.17938800
-9.82157568,-3.59508000,-6.17938800
-9.81517568,-6.30207200,-6.17938800
-9.80877568,-3.59508000,-6.17938800
-9.80237568,-3.59508000,-6.17938800
-9.79597568,-4.49537700,-6.17938800
-9.78957568,-0.88808860,-6.17938800
-9.78317568,-4.49537700,-6.17938800
-9.77677568,0.91555530,-6.17938800
-9.77037568,-5.39872500,-6.17938800
-9.76397568,-0.88808860,-6.17938800
-9.75757568,-6.30207200,-6.17938800
-9.75117568,0.01220740,-6.17938800
-9.74477568,-5.39872500,-6.17938800
-9.73837568,-1.79143600,-6.17938800
-9.73197568,-6.30207200,-6.17938800
-9.72557568,-0.88808860,-6.17938800
-9.71917568,-4.49537700,-6.17938800
-9.71277568,-0.88808860,-6.17938800
-9.70637568,-3.59508000,-6.17938800
-9.69997568,-1.79143600,-6.17938800
-9.69357568,-3.59508000,-6.17938800
-9.68717569,-3.59508000,-6.17938800
-9.68077569,-1.79143600,-6.08935800
-9.67437569,-4.49537700,-6.17938800
-9.66797569,-0.88808860,-6.17938800
-9.66157569,-7.20236800,-6.17938800
-9.65517569,-2.69173300,-6.17938800
-9.64877569,-9.00601200,-6.17938800
-9.64237569,-2.69173300,-6.17938800
-9.63597569,-8.10571600,-6.17938800
-9.62957569,-1.79143600,-6.17938800
-9.62317569,-7.20236800,-6.17938800
-9.61677569,-2.69173300,-6.17938800
-9.61037569,-5.39872500,-6.17938800
-9.60397569,0.01220740,-6.17938800
-9.59757569,-4.49537700,-6.17938800
-9.59117569,-0.88808860,-6.17938800
-9.58477569,-3.59508000,-6.17938800
-9.57837569,-1.79143600,-6.17938800
-9.57197569,-3.59508000,-6.17938800
-9.56557569,-4.49537700,-6.17938800
-9.55917569,-2.69173300,-6.08935800
-9.55277569,-7.20236800,-6.17938800
-9.54637569,-0.88808860,-6.17938800
-9.53997569,-8.10571600,-6.17938800
-9.53357569,-0.88808860,-6.08935800
-9.52717569,-8.10571600,-6.17938800
-9.52077569,-3.59508000,-6.17938800
-9.51437570,-7.20236800,-6.08935800
-9.50797570,-3.59508000,-6.17938800
-9.50157570,-7.20236800,-6.17938800
-9.49517570,-3.59508000,-6.17938800
-9.48877570,-7.20236800,-6.17938800
-9.48237570,-3.59508000,-6.17938800
-9.47597570,-6.30207200,-6.17938800
-9.46957570,-4.49537700,-6.17938800
-9.46317570,-6.30207200,-6.17938800
-9.45677570,-6.30207200,-6.17938800
-9.45037570,-5.39872500,-6.17938800
-9.44397570,-9.00601200,-6.17938800
-9.43757570,-3.59508000,-6.17938800
-9.43117570,-9.90936000,-6.17938800
-9.42477570,-1.79143600,-6.17938800
-9.41837570,-7.20236800,-6.17938800
-9.41197570,-1.79143600,-6.17938800
-9.40557570,-6.30207200,-6.17938800
-9.39917570,-0.88808860,-6.17938800
-9.39277570,-5.39872500,-6.17938800
-9.38637570,-1.79143600,-6.17938800
-9.37997570,-5.39872500,-6.17938800
-9.37357570,-2.69173300,-6.17938800
-9.36717570,-6.30207200,-6.08935800
-9.36077570,-3.59508000,-6.08935800
-9.35437570,-3.59508000,-6.17938800
-9.34797571,-3.59508000,-6.08935800
-9.34157571,-1.79143600,-6.08935800
-9.33517571,-4.49537700,-6.17938800
-9.32877571,-0.88808860,-6.17938800
-9.32237571,-6.30207200,-6.08935800
-9.31597571,-1.79143600,-6.17938800
-9.30957571,-7.20236800,-6.17938800
-9.30317571,-2.69173300,-6.17938800
-9.29677571,-9.90936000,-6.08935800
-9.29037571,-4.49537700,-6.17938800
-9.28397571,-7.20236800,-6.08935800
-9.27757571,-3.59508000,-6.17938800
-9.27117571,-7.20236800,-6.17938800
-9.26477571,-3.59508000,-6.17938800
-9.25837571,-8.10571600,-6.08935800
-9.25197571,-5.39872500,-6.17938800
-9.24557571,-9.90936000,-6.17938800
-9.23917571,-8.10571600,-6.17938800
-9.23277571,-9.00601200,-6.08935800
-9.22637571,-9.00601200,-6.17938800
-9.21997571,-8.10571600,-6.08935800
-9.21357571,-11.71300000,-6.17938800
-9.20717571,-7.20236800,-6.08935800
-9.20077571,-12.61330000,-6.08935800
-9.19437571,-4.49537700,-6.17938800
-9.18797571,-10.80966000,-6.08935800
-9.18157572,-3.59508000,-6.17938800
-9.17517572,-9.90936000,-6.08935800
-9.16877572,-5.39872500,-6.08935800
-9.16237572,-9.90936000,-6.08935800
-9.15597572,-7.20236800,-6.08935800
-9.14957572,-9.00601200,-6.08935800
-9.14317572,-5.39872500,-6.08935800
-9.13677572,-9.00601200,-6.08935800
-9.13037572,-6.30207200,-6.17938800
-9.12397572,-7.20236800,-6.17938800
-9.11757572,-5.39872500,-6.08935800
-9.11117572,-3.59508000,-6.08935800
-9.10477572,-4.49537700,-6.08935800
-9.09837572,-0.88808860,-6.08935800
-9.09197572,-4.49537700,-6.17938800
-9.08557572,0.91555530,-6.08935800
-9.07917572,-5.39872500,-6.08935800
-9.07277572,0.01220740,-6.08935800
-9.06637572,-5.39872500,-6.08935800
-9.05997572,-0.88808860,-6.08935800
