Time,Channel A,Channel B
(ms),(mV),(V)

-10.01057494,1.81890300,-6.17938800
-10.00417494,-3.59508000,-6.17938800
-9.99777495,-1.79143600,-6.17938800
-9.99137495,0.91555530,-6.17938800
-9.98497495,-3.59508000,-6.17938800
-9.97857495,0.01220740,-6.08935800
-9.97217495,3.62254700,-6.17938800
-9.96577495,-1.79143600,-6.08935800
-9.95937495,1.81890300,-6.17938800
-9.95297495,3.62254700,-6.17938800
-9.94657495,-0.88808860,-6.17938800
-9.94017495,2.71919900,-6.17938800
-9.93377495,0.91555530,-6.08935800
-9.92737495,-5.39872500,-6.17938800
-9.92097495,-1.79143600,-6.17938800
-9.91457495,-3.59508000,-6.17938800
-9.90817495,-7.20236800,-6.17938800
-9.90177495,-2.69173300,-6.17938800
-9.89537495,-4.49537700,-6.17938800
-9.88897495,-5.39872500,-6.17938800
-9.88257495,0.01220740,-6.17938800
-9.87617495,-3.59508000,-6.17938800
-9.86977495,-4.49537700,-6.17938800
-9.86337495,1.81890300,-6.17938800
-9.85697495,-0.88808860,-6.17938800
-9.85057495,-2.69173300,-6.17938800
-9.84417495,1.81890300,-6.17938800
-9.83777495,-3.59508000,-6.17938800
-9.83137495,-1.79143600,-6.17938800
-9.82497496,1.81890300,-6.17938800
-9.81857496,-3.59508000,-6.17938800
-9.81217496,-0.88808860,-6.17938800
-9.80577496,0.91555530,-6.17938800
-9.79937496,-3.59508000,-6.17938800
-9.79297496,0.01220740,-6.17938800
-9.78657496,0.91555530,-6.17938800
-9.78017496,-3.59508000,-6.17938800
-9.77377496,1.81890300,-6.17938800
-9.76737496,1.81890300,-6.17938800
-9.76097496,-2.69173300,-6.17938800
-9.75457496,1.81890300,-6.17938800
-9.74817496,0.91555530,-6.17938800
-9.74177496,-2.69173300,-6.17938800
-9.73537496,2.71919900,-6.17938800
-9.72897496,0.91555530,-6.17938800
-9.72257496,-2.69173300,-6.17938800
-9.71617496,1.81890300,-6.08935800
-9.70977496,-1.79143600,-6.17938800
-9.70337496,-2.69173300,-6.17938800
-9.69697496,3.62254700,-6.17938800
-9.69057496,0.01220740,-6.17938800
-9.68417496,0.91555530,-6.08935800
-9.67777496,4.52284300,-6.17938800
-9.67137496,0.91555530,-6.17938800
-9.66497496,1.81890300,-6.17938800
-9.65857497,5.42619100,-6.17938800
-9.65217497,0.91555530,-6.17938800
-9.64577497,3.62254700,-6.17938800
-9.63937497,5.42619100,-6.17938800
-9.63297497,-1.79143600,-6.17938800
-9.62657497,3.62254700,-6.17938800
-9.62017497,3.62254700,-6.17938800
-9.61377497,-0.88808860,-6.17938800
-9.60737497,5.42619100,-6.17938800
-9.60097497,5.42619100,-6.17938800
-9.59457497,0.91555530,-6.17938800
-9.58817497,6.32648700,-6.17938800
-9.58177497,4.52284300,-6.17938800
-9.57537497,-1.79143600,-6.17938800
-9.56897497,3.62254700,-6.17938800
-9.56257497,2.71919900,-6.17938800
-9.55617497,-2.69173300,-6.17938800
-9.54977497,0.01220740,-6.17938800
-9.54337497,-0.88808860,-6.17938800
-9.53697497,-1.79143600,-6.08935800
-9.53057497,1.81890300,-6.17938800
-9.52417497,-2.69173300,-6.17938800
-9.51777497,-1.79143600,-6.08935800
-9.51137497,3.62254700,-6.17938800
-9.50497497,-0.88808860,-6.17938800
-9.49857497,0.01220740,-6.17938800
-9.49217498,5.42619100,-6.17938800
-9.48577498,0.91555530,-6.17938800
-9.47937498,3.62254700,-6.17938800
-9.47297498,7.22983500,-6.17938800
-9.46657498,1.81890300,-6.17938800
-9.46017498,4.52284300,-6.17938800
-9.45377498,5.42619100,-6.08935800
-9.44737498,-0.88808860,-6.17938800
-9.44097498,3.62254700,-6.17938800
-9.43457498,1.81890300,-6.17938800
-9.42817498,-3.59508000,-6.17938800
-9.42177498,1.81890300,-6.17938800
-9.41537498,0.01220740,-6.17938800
-9.40897498,-3.59508000,-6.17938800
-9.40257498,0.01220740,-6.17938800
-9.39617498,-2.69173300,-6.17938800
-9.38977498,-3.59508000,-6.17938800
-9.38337498,1.81890300,-6.17938800
-9.37697498,-1.79143600,-6.17938800
-9.37057498,-1.79143600,-6.17938800
-9.36417498,0.91555530,-6.08935800
-9.35777498,-2.69173300,-6.17938800
-9.35137498,-3.59508000,-6.17938800
-9.34497498,0.01220740,-6.08935800
-9.33857498,-5.39872500,-6.08935800
-9.33217498,-3.59508000,-6.17938800
-9.32577498,0.01220740,-6.17938800
-9.31937499,-4.49537700,-6.17938800
-9.31297499,-1.79143600,-6.17938800
-9.30657499,1.81890300,-6.17938800
-9.30017499,-3.59508000,-6.08935800
-9.29377499,0.91555530,-6.17938800
-9.28737499,2.71919900,-6.17938800
-9.28097499,-0.88808860,-6.08935800
-9.27457499,4.52284300,-6.17938800
-9.26817499,4.52284300,-6.17938800
-9.26177499,1.81890300,-6.08935800
-9.25537499,7.22983500,-6.08935800
-9.24897499,8.13013100,-6.08935800
-9.24257499,3.62254700,-6.08935800
-9.23617499,7.22983500,-6.08935800
-9.22977499,3.62254700,-6.08935800
-9.22337499,0.01220740,-6.08935800
-9.21697499,4.52284300,-6.17938800
-9.21057499,0.91555530,-6.17938800
-9.20417499,-1.79143600,-6.17938800
-9.19777499,4.52284300,-6.08935800
-9.19137499,0.01220740,-6.08935800
-9.18497499,0.91555530,-6.08935800
-9.17857499,3.62254700,-6.08935800
-9.17217499,-0.88808860,-6.08935800
-9.16577499,0.91555530,-6.08935800
-9.15937499,3.62254700,-6.08935800
-9.15297500,-0.88808860,-6.08935800
-9.14657500,2.71919900,-6.08935800
-9.14017500,5.42619100,-6.08935800
-9.13377500,0.01220740,-6.08935800
-9.12737500,3.62254700,-6.08935800
-9.12097500,5.42619100,-6.17938800
-9.11457500,0.01220740,-6.08935800
-9.10817500,6.32648700,-6.08935800
-9.10177500,5.42619100,-6.08935800
-9.09537500,0.91555530,-6.08935800
-9.08897500,5.42619100,-6.08935800
-9.08257500,4.52284300,-6.08935800
-9.07617500,1.81890300,-6.08935800
-9.06977500,9.03042700,-6.08935800
-9.06337500,5.42619100,-6.08935800
-9.05697500,4.52284300,-6.08935800
-9.05057500,9.03042700,-6.08935800
-9.04417500,6.32648700,-6.08935800
-9.03777500,5.42619100,-6.08935800
-9.03137500,9.93377500,-6.08935800
