Time,Channel A,Channel B
(ms),(mV),(V)

-10.01366042,4.52284300,-6.17938800
-10.00726042,2.71919900,-6.17938800
-10.00086042,0.91555530,-6.17938800
-9.99446042,0.91555530,-6.17938800
-9.98806042,0.01220740,-6.17938800
-9.98166042,0.91555530,-6.17938800
-9.97526042,1.81890300,-6.17938800
-9.96886042,3.62254700,-6.08935800
-9.96246042,3.62254700,-6.17938800
-9.95606042,3.62254700,-6.17938800
-9.94966042,5.42619100,-6.17938800
-9.94326042,6.32648700,-6.17938800
-9.93686042,7.22983500,-6.17938800
-9.93046042,7.22983500,-6.17938800
-9.92406042,8.13013100,-6.17938800
-9.91766042,7.22983500,-6.17938800
-9.91126042,7.22983500,-6.17938800
-9.90486042,5.42619100,-6.17938800
-9.89846042,5.42619100,-6.17938800
-9.89206042,5.42619100,-6.17938800
-9.88566042,4.52284300,-6.08935800
-9.87926042,3.62254700,-6.17938800
-9.87286042,3.62254700,-6.17938800
-9.86646042,4.52284300,-6.17938800
-9.86006043,4.52284300,-6.17938800
-9.85366043,4.52284300,-6.17938800
-9.84726043,4.52284300,-6.17938800
-9.84086043,4.52284300,-6.17938800
-9.83446043,2.71919900,-6.17938800
-9.82806043,1.81890300,-6.17938800
-9.82166043,0.91555530,-6.17938800
-9.81526043,0.91555530,-6.17938800
-9.80886043,1.81890300,-6.17938800
-9.80246043,3.62254700,-6.17938800
-9.79606043,6.32648700,-6.17938800
-9.78966043,8.13013100,-6.17938800
-9.78326043,10.83407000,-6.17938800
-9.77686043,12.63772000,-6.17938800
-9.77046043,14.44136000,-6.17938800
-9.76406043,15.34471000,-6.17938800
-9.75766043,15.34471000,-6.17938800
-9.75126043,14.44136000,-6.17938800
-9.74486043,14.44136000,-6.17938800
-9.73846043,12.63772000,-6.17938800
-9.73206043,12.63772000,-6.17938800
-9.72566043,10.83407000,-6.17938800
-9.71926043,9.93377500,-6.17938800
-9.71286043,9.03042700,-6.17938800
-9.70646043,9.93377500,-6.17938800
-9.70006043,9.03042700,-6.17938800
-9.69366044,9.03042700,-6.17938800
-9.68726044,10.83407000,-6.17938800
-9.68086044,9.03042700,-6.17938800
-9.67446044,10.83407000,-6.17938800
-9.66806044,10.83407000,-6.17938800
-9.66166044,9.03042700,-6.17938800
-9.65526044,10.83407000,-6.17938800
-9.64886044,10.83407000,-6.17938800
-9.64246044,9.03042700,-6.17938800
-9.63606044,9.03042700,-6.17938800
-9.62966044,9.03042700,-6.17938800
-9.62326044,7.22983500,-6.17938800
-9.61686044,6.32648700,-6.17938800
-9.61046044,5.42619100,-6.17938800
-9.60406044,3.62254700,-6.17938800
-9.59766044,4.52284300,-6.17938800
-9.59126044,4.52284300,-6.17938800
-9.58486044,4.52284300,-6.17938800
-9.57846044,4.52284300,-6.17938800
-9.57206044,3.62254700,-6.08935800
-9.56566044,2.71919900,-6.17938800
-9.55926044,1.81890300,-6.17938800
-9.55286044,1.81890300,-6.17938800
-9.54646044,3.62254700,-6.17938800
-9.54006044,3.62254700,-6.17938800
-9.53366044,3.62254700,-6.08935800
-9.52726044,2.71919900,-6.17938800
-9.52086045,3.62254700,-6.17938800
-9.51446045,2.71919900,-6.17938800
-9.50806045,2.71919900,-6.17938800
-9.50166045,2.71919900,-6.17938800
-9.49526045,2.71919900,-6.17938800
-9.48886045,2.71919900,-6.17938800
-9.48246045,3.62254700,-6.17938800
-9.47606045,3.62254700,-6.17938800
-9.46966045,5.42619100,-6.17938800
-9.46326045,7.22983500,-6.17938800
-9.45686045,7.22983500,-6.17938800
-9.45046045,7.22983500,-6.08935800
-9.44406045,7.22983500,-6.17938800
-9.43766045,7.22983500,-6.17938800
-9.43126045,7.22983500,-6.17938800
-9.42486045,6.32648700,-6.17938800
-9.41846045,7.22983500,-6.17938800
-9.41206045,6.32648700,-6.17938800
-9.40566045,6.32648700,-6.17938800
-9.39926045,7.22983500,-6.17938800
-9.39286045,6.32648700,-6.17938800
-9.38646045,5.42619100,-6.08935800
-9.38006045,5.42619100,-6.17938800
-9.37366045,4.52284300,-6.17938800
-9.36726045,4.52284300,-6.17938800
-9.36086045,4.52284300,-6.08935800
-9.35446046,3.62254700,-6.08935800
-9.34806046,1.81890300,-6.17938800
-9.34166046,0.01220740,-6.17938800
-9.33526046,0.91555530,-6.08935800
-9.32886046,0.91555530,-6.08935800
-9.32246046,2.71919900,-6.17938800
-9.31606046,1.81890300,-6.08935800
-9.30966046,1.81890300,-6.17938800
-9.30326046,4.52284300,-6.08935800
-9.29686046,3.62254700,-6.17938800
-9.29046046,4.52284300,-6.17938800
-9.28406046,3.62254700,-6.08935800
-9.27766046,2.71919900,-6.08935800
-9.27126046,1.81890300,-6.17938800
-9.26486046,1.81890300,-6.17938800
-9.25846046,1.81890300,-6.08935800
-9.25206046,2.71919900,-6.08935800
-9.24566046,1.81890300,-6.17938800
-9.23926046,2.71919900,-6.08935800
-9.23286046,2.71919900,-6.08935800
-9.22646046,0.91555530,-6.17938800
-9.22006046,2.71919900,-6.17938800
-9.21366046,2.71919900,-6.08935800
-9.20726046,4.52284300,-6.08935800
-9.20086046,7.22983500,-6.08935800
-9.19446046,8.13013100,-6.08935800
-9.18806047,9.93377500,-6.17938800
-9.18166047,9.93377500,-6.08935800
-9.17526047,10.83407000,-6.08935800
-9.16886047,9.93377500,-6.08935800
-9.16246047,9.03042700,-6.08935800
-9.15606047,9.03042700,-6.08935800
-9.14966047,8.13013100,-6.17938800
-9.14326047,6.32648700,-6.17938800
-9.13686047,6.32648700,-6.08935800
-9.13046047,5.42619100,-6.17938800
-9.12406047,6.32648700,-6.08935800
-9.11766047,6.32648700,-6.08935800
-9.11126047,7.22983500,-6.17938800
-9.10486047,9.03042700,-6.08935800
-9.09846047,9.93377500,-6.08935800
-9.09206047,9.93377500,-6.08935800
-9.08566047,10.83407000,-6.17938800
-9.07926047,11.73742000,-6.08935800
-9.07286047,10.83407000,-6.08935800
-9.06646047,9.03042700,-6.08935800
-9.06006047,8.13013100,-6.17938800
-9.05366047,6.32648700,-6.08935800
-9.04726047,4.52284300,-6.08935800
-9.04086047,3.62254700,-6.08935800
-9.03446047,1.81890300,-6.08935800
-9.02806047,0.91555530,-6.08935800
-9.02166047,0.01220740,-6.08935800
-9.01526048,-0.88808860,-6.08935800
