24.9	38	24.9	47.6
25	36	25	45
25.1	47	25.1	45.3
25.2	42	25.2	43.1
25.3	39	25.3	42.9
25.4	51	25.4	43.2
25.5	50	25.5	43.1
25.6	40	25.6	45.9
25.7	36	25.7	42.1
25.8	51	25.8	41.9
25.9	39	25.9	40.6
26	49	26	44.9
26.1	43	26.1	40.3
26.2	33	26.2	41.3
26.3	47	26.3	42.2
26.4	40	26.4	43.9
26.5	29	26.5	43.5
26.6	47	26.6	45.4
26.7	49	26.7	38.3
26.8	36	26.8	41.6
26.9	42	26.9	40.5
27	51	27	41.1
27.1	45	27.1	41.3
27.2	34	27.2	39.3
27.3	43	27.3	38
27.4	43	27.4	39.5
27.5	46	27.5	43
27.6	52	27.6	46.5
27.7	31	27.7	49.2
27.8	46	27.8	47.6
27.9	40	27.9	42.2
28	49	28	40
28.1	42	28.1	39
28.2	49	28.2	36.6
28.3	34	28.3	36.1
28.4	33	28.4	38.5
28.5	50	28.5	34.3
28.6	34	28.6	36.7
28.7	39	28.7	38
28.8	25	28.8	37.4
28.9	26	28.9	36.7
29	34	29	34.4
29.1	39	29.1	38.3
29.2	40	29.2	33.8
29.3	29	29.3	33.6
29.4	24	29.4	33.9
29.5	42	29.5	38.3
29.6	35	29.6	34.7
29.7	47	29.7	35.9
29.8	32	29.8	32.7
29.9	26	29.9	32.9
30	39	30	38.8
30.1	21	30.1	35.4
30.2	35	30.2	35.6
30.3	38	30.3	33.7
30.4	41	30.4	35.9
30.5	32	30.5	34.4
30.6	31	30.6	33
30.7	35	30.7	34.1
30.8	31	30.8	33.7
30.9	38	30.9	34.2
31	26	31	34
31.1	43	31.1	36.4
31.2	35	31.2	36.8
31.3	49	31.3	46.2
31.4	64	31.4	50.5
31.5	81	31.5	61.6
31.6	67	31.6	66.2
31.7	48	31.7	68.4
31.8	46	31.8	51.9
31.9	52	31.9	46.4
32	31	32	33.6
32.1	32	32.1	35.7
32.2	34	32.2	32.1
32.3	36	32.3	31.9
32.4	35	32.4	30.4
32.5	30	32.5	28
32.6	39	32.6	32.2
32.7	28	32.7	30.3
32.8	27	32.8	29.4
32.9	34	32.9	29.8
33	31	33	32.2
33.1	27	33.1	31
33.2	31	33.2	29.8
33.3	35	33.3	28.4
33.4	32	33.4	33.3
33.5	26	33.5	26.8
33.6	26	33.6	28.6
33.7	23	33.7	31.5
33.8	35	33.8	24.7
33.9	21	33.9	29
34	35	34	30.4
