Time,Channel A,Channel B
(ms),(mV),(V)

-10.01000404,-8.98770000,-6.17938800
-10.00360404,-0.01525925,-6.17938800
-9.99720404,-0.01525925,-6.17938800
-9.99080404,-0.01525925,-6.17938800
-9.98440405,4.45570200,-6.17938800
-9.97800405,-0.01525925,-6.17938800
-9.97160405,-0.01525925,-6.17938800
-9.96520405,4.45570200,-6.17938800
-9.95880405,-0.01525925,-6.17938800
-9.95240405,4.45570200,-6.17938800
-9.94600405,4.45570200,-6.17938800
-9.93960405,-0.01525925,-6.17938800
-9.93320405,4.45570200,-6.17938800
-9.92680405,4.45570200,-6.17938800
-9.92040405,4.45570200,-6.17938800
-9.91400405,13.42814000,-6.17938800
-9.90760405,8.94192300,-6.17938800
-9.90120405,8.94192300,-6.17938800
-9.89480405,13.42814000,-6.17938800
-9.88840405,4.45570200,-6.17938800
-9.88200405,8.94192300,-6.08935800
-9.87560405,4.45570200,-6.17938800
-9.86920405,-0.01525925,-6.17938800
-9.86280405,4.45570200,-6.17938800
-9.85640405,-8.98770000,-6.17938800
-9.85000405,-13.47392000,-6.17938800
-9.84360405,-13.47392000,-6.17938800
-9.83720405,-22.43110000,-6.08935800
-9.83080405,-22.43110000,-6.17938800
-9.82440405,-17.94488000,-6.17938800
-9.81800405,-17.94488000,-6.17938800
-9.81160406,-13.47392000,-6.17938800
-9.80520406,-13.47392000,-6.17938800
-9.79880406,-17.94488000,-6.17938800
-9.79240406,-17.94488000,-6.17938800
-9.78600406,-22.43110000,-6.17938800
-9.77960406,-22.43110000,-6.17938800
-9.77320406,-17.94488000,-6.17938800
-9.76680406,-26.91732000,-6.17938800
-9.76040406,-17.94488000,-6.17938800
-9.75400406,-17.94488000,-6.17938800
-9.74760406,-22.43110000,-6.17938800
-9.74120406,-17.94488000,-6.17938800
-9.73480406,-31.40354000,-6.17938800
-9.72840406,-31.40354000,-6.17938800
-9.72200406,-35.87451000,-6.17938800
-9.71560406,-40.36073000,-6.17938800
-9.70920406,-35.87451000,-6.08935800
-9.70280406,-31.40354000,-6.17938800
-9.69640406,-26.91732000,-6.08935800
-9.69000406,-17.94488000,-6.17938800
-9.68360406,-13.47392000,-6.17938800
-9.67720406,-13.47392000,-6.08935800
-9.67080406,-4.50148000,-6.17938800
-9.66440406,-8.98770000,-6.17938800
-9.65800406,-4.50148000,-6.17938800
-9.65160406,4.45570200,-6.17938800
-9.64520407,-4.50148000,-6.08935800
-9.63880407,-0.01525925,-6.17938800
-9.63240407,-0.01525925,-6.08935800
-9.62600407,-4.50148000,-6.17938800
-9.61960407,-0.01525925,-6.08935800
-9.61320407,-4.50148000,-6.08935800
-9.60680407,-4.50148000,-6.17938800
-9.60040407,4.45570200,-6.08935800
-9.59400407,-0.01525925,-6.08935800
-9.58760407,4.45570200,-6.17938800
-9.58120407,4.45570200,-6.08935800
-9.57480407,-0.01525925,-6.08935800
-9.56840407,4.45570200,-6.08935800
-9.56200407,4.45570200,-6.08935800
-9.55560407,4.45570200,-6.17938800
-9.54920407,8.94192300,-6.17938800
-9.54280407,4.45570200,-6.17938800
-9.53640407,8.94192300,-6.08935800
-9.53000407,13.42814000,-6.08935800
-9.52360407,4.45570200,-6.17938800
-9.51720407,4.45570200,-6.08935800
-9.51080407,-0.01525925,-6.17938800
-9.50440407,-4.50148000,-6.08935800
-9.49800407,-0.01525925,-6.08935800
-9.49160407,-8.98770000,-6.17938800
-9.48520407,-13.47392000,-6.08935800
-9.47880408,-13.47392000,-6.17938800
-9.47240408,-26.91732000,-6.08935800
-9.46600408,-26.91732000,-6.17938800
-9.45960408,-31.40354000,-6.17938800
-9.45320408,-40.36073000,-6.08935800
-9.44680408,-40.36073000,-6.08935800
-9.44040408,-40.36073000,-6.08935800
-9.43400408,-40.36073000,-6.08935800
-9.42760408,-31.40354000,-6.08935800
-9.42120408,-31.40354000,-6.17938800
-9.41480408,-22.43110000,-6.08935800
-9.40840408,-4.50148000,-6.08935800
-9.40200408,-4.50148000,-6.08935800
-9.39560408,4.45570200,-6.08935800
-9.38920408,8.94192300,-6.08935800
-9.38280408,8.94192300,-6.08935800
-9.37640408,17.91437000,-6.08935800
-9.37000408,8.94192300,-6.08935800
-9.36360408,8.94192300,-6.08935800
-9.35720408,8.94192300,-6.08935800
-9.35080408,4.45570200,-6.08935800
-9.34440408,8.94192300,-6.08935800
-9.33800408,17.91437000,-6.08935800
-9.33160408,13.42814000,-6.08935800
-9.32520408,22.38533000,-6.08935800
-9.31880408,22.38533000,-6.08935800
-9.31240408,17.91437000,-6.08935800
-9.30600409,22.38533000,-6.08935800
-9.29960409,17.91437000,-6.08935800
-9.29320409,17.91437000,-6.08935800
-9.28680409,17.91437000,-6.08935800
-9.28040409,8.94192300,-6.08935800
-9.27400409,8.94192300,-6.08935800
-9.26760409,8.94192300,-6.08935800
-9.26120409,-0.01525925,-6.08935800
-9.25480409,4.45570200,-6.08935800
-9.24840409,-0.01525925,-6.08935800
-9.24200409,-4.50148000,-6.08935800
-9.23560409,-4.50148000,-6.08935800
-9.22920409,-13.47392000,-6.08935800
-9.22280409,-17.94488000,-6.08935800
-9.21640409,-17.94488000,-6.08935800
-9.21000409,-26.91732000,-5.99902300
-9.20360409,-22.43110000,-6.08935800
-9.19720409,-22.43110000,-6.08935800
-9.19080409,-26.91732000,-6.08935800
-9.18440409,-17.94488000,-6.08935800
-9.17800409,-17.94488000,-6.08935800
-9.17160409,-13.47392000,-5.99902300
-9.16520409,-4.50148000,-5.99902300
-9.15880409,-4.50148000,-6.08935800
-9.15240409,-0.01525925,-5.99902300
-9.14600409,4.45570200,-6.08935800
-9.13960410,-4.50148000,-5.99902300
-9.13320410,-0.01525925,-6.08935800
-9.12680410,-4.50148000,-6.08935800
-9.12040410,-13.47392000,-5.99902300
-9.11400410,-8.98770000,-6.08935800
-9.10760410,-13.47392000,-6.08935800
-9.10120410,-17.94488000,-5.99902300
-9.09480410,-13.47392000,-6.08935800
-9.08840410,-22.43110000,-6.08935800
-9.08200410,-17.94488000,-6.08935800
-9.07560410,-22.43110000,-6.08935800
-9.06920410,-31.40354000,-5.99902300
-9.06280410,-31.40354000,-5.99902300
-9.05640410,-35.87451000,-6.08935800
-9.05000410,-35.87451000,-5.99902300
-9.04360410,-31.40354000,-6.08935800
