Time,Channel A,Channel B
(ms),(mV),(V)

-10.01147833,1.67851800,-6.17938800
-10.00507833,1.67851800,-6.17938800
-9.99867833,-0.10986660,-6.17938800
-9.99227833,1.67851800,-6.17938800
-9.98587833,3.46690200,-6.17938800
-9.97947833,5.25528700,-6.17938800
-9.97307833,5.25528700,-6.17938800
-9.96667833,5.25528700,-6.17938800
-9.96027833,3.46690200,-6.17938800
-9.95387833,-0.10986660,-6.17938800
-9.94747833,-5.48112400,-6.17938800
-9.94107833,-5.48112400,-6.17938800
-9.93467833,-9.05789400,-6.17938800
-9.92827833,-10.84628000,-6.17938800
-9.92187833,-10.84628000,-6.17938800
-9.91547833,-9.05789400,-6.17938800
-9.90907833,-5.48112400,-6.17938800
-9.90267833,-1.89825100,-6.17938800
-9.89627833,1.67851800,-6.17938800
-9.88987833,1.67851800,-6.17938800
-9.88347833,3.46690200,-6.17938800
-9.87707834,5.25528700,-6.17938800
-9.87067834,8.83205600,-6.17938800
-9.86427834,10.62044000,-6.17938800
-9.85787834,10.62044000,-6.17938800
-9.85147834,14.19721000,-6.17938800
-9.84507834,17.77398000,-6.17938800
-9.83867834,17.77398000,-6.17938800
-9.83227834,15.98559000,-6.17938800
-9.82587834,10.62044000,-6.17938800
-9.81947834,7.04367200,-6.17938800
-9.81307834,-1.89825100,-6.17938800
-9.80667834,-7.26950900,-6.08935800
-9.80027834,-12.63466000,-6.17938800
-9.79387834,-12.63466000,-6.17938800
-9.78747834,-12.63466000,-6.17938800
-9.78107834,-14.42305000,-6.17938800
-9.77467834,-14.42305000,-6.17938800
-9.76827834,-12.63466000,-6.17938800
-9.76187834,-10.84628000,-6.17938800
-9.75547834,-10.84628000,-6.17938800
-9.74907834,-9.05789400,-6.17938800
-9.74267834,-9.05789400,-6.17938800
-9.73627834,-10.84628000,-6.17938800
-9.72987834,-10.84628000,-6.17938800
-9.72347834,-12.63466000,-6.17938800
-9.71707834,-12.63466000,-6.17938800
-9.71067835,-10.84628000,-6.17938800
-9.70427835,-10.84628000,-6.08935800
-9.69787835,-9.05789400,-6.17938800
-9.69147835,-9.05789400,-6.17938800
-9.68507835,-9.05789400,-6.17938800
-9.67867835,-9.05789400,-6.17938800
-9.67227835,-9.05789400,-6.17938800
-9.66587835,-7.26950900,-6.17938800
-9.65947835,-5.48112400,-6.17938800
-9.65307835,-5.48112400,-6.17938800
-9.64667835,-5.48112400,-6.17938800
-9.64027835,-5.48112400,-6.08935800
-9.63387835,-9.05789400,-6.17938800
-9.62747835,-7.26950900,-6.17938800
-9.62107835,-9.05789400,-6.17938800
-9.61467835,-7.26950900,-6.17938800
-9.60827835,-7.26950900,-6.08935800
-9.60187835,-7.26950900,-6.08935800
-9.59547835,-3.69274000,-6.08935800
-9.58907835,-3.69274000,-6.08935800
-9.58267835,-3.69274000,-6.08935800
-9.57627835,-1.89825100,-6.17938800
-9.56987835,-3.69274000,-6.17938800
-9.56347835,-5.48112400,-6.08935800
-9.55707835,-9.05789400,-6.08935800
-9.55067835,-7.26950900,-6.08935800
-9.54427835,-5.48112400,-6.08935800
-9.53787836,-5.48112400,-6.08935800
-9.53147836,-3.69274000,-6.17938800
-9.52507836,-5.48112400,-6.08935800
-9.51867836,-7.26950900,-6.17938800
-9.51227836,-9.05789400,-6.08935800
-9.50587836,-10.84628000,-6.08935800
-9.49947836,-12.63466000,-6.08935800
-9.49307836,-12.63466000,-6.08935800
-9.48667836,-10.84628000,-6.08935800
-9.48027836,-10.84628000,-6.08935800
-9.47387836,-10.84628000,-6.08935800
-9.46747836,-10.84628000,-6.08935800
-9.46107836,-9.05789400,-6.08935800
-9.45467836,-5.48112400,-6.17938800
-9.44827836,-1.89825100,-6.08935800
-9.44187836,1.67851800,-6.08935800
-9.43547836,1.67851800,-6.08935800
-9.42907836,5.25528700,-6.08935800
-9.42267836,5.25528700,-6.08935800
-9.41627836,8.83205600,-6.08935800
-9.40987836,10.62044000,-6.08935800
-9.40347836,14.19721000,-6.08935800
-9.39707836,15.98559000,-6.08935800
-9.39067836,17.77398000,-6.08935800
-9.38427836,21.35075000,-6.08935800
-9.37787836,21.35075000,-6.08935800
-9.37147837,19.56236000,-6.08935800
-9.36507837,15.98559000,-6.08935800
-9.35867837,12.40883000,-6.08935800
-9.35227837,10.62044000,-6.08935800
-9.34587837,5.25528700,-6.08935800
-9.33947837,1.67851800,-6.17938800
-9.33307837,-1.89825100,-6.08935800
-9.32667837,-3.69274000,-6.08935800
-9.32027837,-1.89825100,-6.08935800
-9.31387837,-1.89825100,-6.08935800
-9.30747837,-1.89825100,-6.08935800
-9.30107837,-0.10986660,-5.99902300
-9.29467837,3.46690200,-6.08935800
-9.28827837,7.04367200,-6.08935800
-9.28187837,7.04367200,-6.08935800
-9.27547837,7.04367200,-6.08935800
-9.26907837,3.46690200,-5.99902300
-9.26267837,1.67851800,-6.08935800
-9.25627837,-1.89825100,-6.08935800
-9.24987837,-3.69274000,-6.08935800
-9.24347837,-0.10986660,-6.08935800
-9.23707837,1.67851800,-6.08935800
-9.23067837,7.04367200,-6.08935800
-9.22427837,10.62044000,-6.08935800
-9.21787837,14.19721000,-6.08935800
-9.21147837,17.77398000,-6.08935800
-9.20507838,21.35075000,-6.08935800
-9.19867838,23.13913000,-5.99902300
-9.19227838,19.56236000,-6.08935800
-9.18587838,15.98559000,-6.08935800
-9.17947838,12.40883000,-6.08935800
-9.17307838,5.25528700,-6.08935800
-9.16667838,-0.10986660,-5.99902300
-9.16027838,-3.69274000,-6.08935800
-9.15387838,-5.48112400,-6.08935800
-9.14747838,-7.26950900,-6.08935800
-9.14107838,-7.26950900,-5.99902300
-9.13467838,-7.26950900,-6.08935800
-9.12827838,-7.26950900,-6.08935800
-9.12187838,-9.05789400,-6.08935800
-9.11547838,-9.05789400,-6.08935800
-9.10907838,-10.84628000,-5.99902300
-9.10267838,-10.84628000,-6.08935800
-9.09627838,-14.42305000,-5.99902300
-9.08987838,-14.42305000,-5.99902300
-9.08347838,-14.42305000,-5.99902300
-9.07707838,-14.42305000,-6.08935800
-9.07067838,-12.63466000,-5.99902300
-9.06427838,-7.26950900,-5.99902300
-9.05787838,-7.26950900,-5.99902300
-9.05147838,-7.26950900,-5.99902300
-9.04507838,-5.48112400,-5.99902300
