Time,Channel A,Channel B
(ms),(mV),(V)

-10.01257263,22.38533000,-6.17938800
-10.00617263,17.91437000,-6.17938800
-9.99977263,17.91437000,-6.17938800
-9.99337263,17.91437000,-6.17938800
-9.98697263,8.94192300,-6.17938800
-9.98057263,8.94192300,-6.17938800
-9.97417263,8.94192300,-6.17938800
-9.96777263,4.45570200,-6.17938800
-9.96137263,-4.50148000,-6.17938800
-9.95497263,-0.01525925,-6.17938800
-9.94857264,-4.50148000,-6.17938800
-9.94217264,-4.50148000,-6.17938800
-9.93577264,-0.01525925,-6.17938800
-9.92937264,8.94192300,-6.17938800
-9.92297264,8.94192300,-6.17938800
-9.91657264,17.91437000,-6.17938800
-9.91017264,26.87155000,-6.17938800
-9.90377264,22.38533000,-6.17938800
-9.89737264,22.38533000,-6.17938800
-9.89097264,26.87155000,-6.17938800
-9.88457264,22.38533000,-6.17938800
-9.87817264,17.91437000,-6.17938800
-9.87177264,22.38533000,-6.17938800
-9.86537264,17.91437000,-6.17938800
-9.85897264,8.94192300,-6.08935800
-9.85257264,13.42814000,-6.17938800
-9.84617264,8.94192300,-6.17938800
-9.83977264,-4.50148000,-6.17938800
-9.83337264,-4.50148000,-6.17938800
-9.82697264,-4.50148000,-6.17938800
-9.82057264,-13.47392000,-6.17938800
-9.81417264,-17.94488000,-6.17938800
-9.80777264,-13.47392000,-6.17938800
-9.80137264,-17.94488000,-6.17938800
-9.79497264,-26.91732000,-6.17938800
-9.78857264,-22.43110000,-6.17938800
-9.78217264,-17.94488000,-6.17938800
-9.77577265,-22.43110000,-6.17938800
-9.76937265,-17.94488000,-6.17938800
-9.76297265,-13.47392000,-6.17938800
-9.75657265,-13.47392000,-6.17938800
-9.75017265,-13.47392000,-6.17938800
-9.74377265,-8.98770000,-6.17938800
-9.73737265,-8.98770000,-6.17938800
-9.73097265,-13.47392000,-6.17938800
-9.72457265,-8.98770000,-6.17938800
-9.71817265,-8.98770000,-6.08935800
-9.71177265,-17.94488000,-6.17938800
-9.70537265,-13.47392000,-6.08935800
-9.69897265,-8.98770000,-6.08935800
-9.69257265,-13.47392000,-6.17938800
-9.68617265,-8.98770000,-6.17938800
-9.67977265,-0.01525925,-6.08935800
-9.67337265,4.45570200,-6.17938800
-9.66697265,4.45570200,-6.17938800
-9.66057265,17.91437000,-6.17938800
-9.65417265,26.87155000,-6.08935800
-9.64777265,31.35777000,-6.08935800
-9.64137265,40.29969000,-6.08935800
-9.63497265,44.78591000,-6.08935800
-9.62857265,40.29969000,-6.17938800
-9.62217265,44.78591000,-6.08935800
-9.61577265,40.29969000,-6.17938800
-9.60937266,31.35777000,-6.08935800
-9.60297266,26.87155000,-6.08935800
-9.59657266,26.87155000,-6.08935800
-9.59017266,17.91437000,-6.08935800
-9.58377266,4.45570200,-6.17938800
-9.57737266,4.45570200,-6.08935800
-9.57097266,-0.01525925,-6.08935800
-9.56457266,-4.50148000,-6.08935800
-9.55817266,-0.01525925,-6.08935800
-9.55177266,4.45570200,-6.17938800
-9.54537266,-0.01525925,-6.08935800
-9.53897266,-0.01525925,-6.08935800
-9.53257266,4.45570200,-6.08935800
-9.52617266,-0.01525925,-6.08935800
-9.51977266,-4.50148000,-6.08935800
-9.51337266,-4.50148000,-6.08935800
-9.50697266,-4.50148000,-6.08935800
-9.50057266,-8.98770000,-6.17938800
-9.49417266,-0.01525925,-6.08935800
-9.48777266,4.45570200,-6.08935800
-9.48137266,4.45570200,-6.08935800
-9.47497266,8.94192300,-6.08935800
-9.46857266,17.91437000,-6.08935800
-9.46217266,17.91437000,-6.08935800
-9.45577266,26.87155000,-6.08935800
-9.44937266,31.35777000,-6.08935800
-9.44297267,31.35777000,-6.08935800
-9.43657267,22.38533000,-6.08935800
-9.43017267,22.38533000,-6.08935800
-9.42377267,13.42814000,-6.08935800
-9.41737267,-0.01525925,-6.08935800
-9.41097267,-8.98770000,-6.08935800
-9.40457267,-4.50148000,-6.08935800
-9.39817267,-8.98770000,-6.08935800
-9.39177267,-4.50148000,-6.08935800
-9.38537267,4.45570200,-6.08935800
-9.37897267,4.45570200,-6.08935800
-9.37257267,8.94192300,-6.08935800
-9.36617267,17.91437000,-6.08935800
-9.35977267,22.38533000,-6.08935800
-9.35337267,13.42814000,-6.08935800
-9.34697267,13.42814000,-6.17938800
-9.34057267,4.45570200,-6.08935800
-9.33417267,-13.47392000,-6.08935800
-9.32777267,-22.43110000,-6.08935800
-9.32137267,-26.91732000,-6.08935800
-9.31497267,-40.36073000,-6.08935800
-9.30857267,-40.36073000,-6.08935800
-9.30217267,-35.87451000,-6.08935800
-9.29577267,-35.87451000,-6.08935800
-9.28937267,-31.40354000,-6.08935800
-9.28297267,-22.43110000,-6.08935800
-9.27657267,-22.43110000,-6.08935800
-9.27017268,-22.43110000,-6.08935800
-9.26377268,-17.94488000,-6.08935800
-9.25737268,-13.47392000,-6.08935800
-9.25097268,-17.94488000,-6.08935800
-9.24457268,-13.47392000,-6.08935800
-9.23817268,-0.01525925,-6.08935800
-9.23177268,-0.01525925,-6.08935800
-9.22537268,8.94192300,-6.08935800
-9.21897268,22.38533000,-6.08935800
-9.21257268,22.38533000,-6.08935800
-9.20617268,17.91437000,-6.08935800
-9.19977268,17.91437000,-6.08935800
-9.19337268,13.42814000,-6.08935800
-9.18697268,4.45570200,-6.08935800
-9.18057268,4.45570200,-6.08935800
-9.17417268,-0.01525925,-6.08935800
-9.16777268,-8.98770000,-5.99902300
-9.16137268,-13.47392000,-5.99902300
-9.15497268,-13.47392000,-6.08935800
-9.14857268,-17.94488000,-5.99902300
-9.14217268,-26.91732000,-5.99902300
-9.13577268,-22.43110000,-5.99902300
-9.12937268,-31.40354000,-6.08935800
-9.12297268,-40.36073000,-5.99902300
-9.11657268,-35.87451000,-5.99902300
-9.11017268,-35.87451000,-5.99902300
-9.10377269,-40.36073000,-5.99902300
-9.09737269,-35.87451000,-5.99902300
-9.09097269,-26.91732000,-6.08935800
-9.08457269,-22.43110000,-6.08935800
-9.07817269,-17.94488000,-6.08935800
-9.07177269,-13.47392000,-5.99902300
-9.06537269,-8.98770000,-5.99902300
-9.05897269,-13.47392000,-5.99902300
-9.05257269,-4.50148000,-5.99902300
-9.04617269,-4.50148000,-5.99902300
-9.03977269,-13.47392000,-5.99902300
