_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	105	1.25112	172	0	35.0363	125.63	124.95
_D:	0	106	1.10657	151	0	35.0617	117.98	117.34
_D:	0	107	1.32134	155	0	35.0354	119.4	118.72
_D:	0	108	1.19826	156	0	34.7439	123.59	123.02
_D:	0	109	1.23624	168	0	34.9641	127.06	126.36
_D:	0	110	1.24208	149	0	35.0291	116.19	115.62
_D:	0	111	1.2983	145	0	34.57	119.89	119.15
_D:	0	112	1.02943	159	0	34.9735	127.31	126.63
_D:	0	113	1.13524	168	0	35.1983	120.92	120.26
_D:	0	114	1.491	169	0	34.8725	118.96	118.32
_D:	0	115	1.4966	173	0	35.7753	122.87	122.15
_D:	0	116	1.47526	188	0	35.8168	125.44	124.82
_D:	0	117	1.85229	191	0	35.5053	127.99	127.28
_D:	0	118	1.30096	169	0	35.2179	124.98	124.25
_D:	0	119	1.30887	166	0	35.5451	122.32	121.57
_D:	0	120	1.6941	203	0	35.1417	126.54	125.86
_D:	0	121	1.87824	176	0	36.1652	118.3	117.71
_D:	0	122	1.49523	158	0	34.9841	117.03	116.33
_D:	0	123	1.64318	173	0	35.3576	118.73	118.07
_D:	0	124	1.55752	158	0	34.425	128.3	127.62
_D:	0	125	1.29765	155	0	34.1472	115.49	114.9
_D:	0	126	1.76907	179	0	35.6234	123.19	122.57
_D:	0	127	1.07526	141	0	34.3628	126.93	126.2
_D:	0	128	1.20699	158	0	35.1841	114.7	114.06
_D:	0	129	0.840588	152	0	34.0281	124.23	123.43
_D:	0	130	1.20216	159	0	34.4625	124.88	124.22
_D:	0	131	1.31674	175	0	35.2383	127.14	126.52
_D:	0	132	1.52689	189	0	36.1098	129.24	128.54
_D:	0	133	1.43766	153	0	35.6049	117.41	116.57
_D:	0	134	1.22267	159	0	35.8074	119.21	118.57
_D:	0	135	0.894179	156	0	35.3375	121.14	120.35
_D:	0	136	1.07736	147	0	34.5166	120.83	120.07
_D:	0	137	1.18084	160	0	34.8249	126.61	125.96
_D:	0	138	1.17663	171	0	34.3757	126.32	125.72
_D:	0	139	1.09778	156	0	34.6006	119.11	118.53
_D:	0	140	1.03039	139	0	34.1643	119.61	118.96
_D:	0	141	1.62284	187	0	35.3755	122.88	122.15
_D:	0	142	1.09751	135	0	33.9674	122.46	121.8
_D:	0	143	1.15867	148	0	34.0401	120.18	119.56
_D:	0	144	0.806025	140	0	34.1297	120.61	119.92
_D:	0	145	0.707023	133	0	33.953	113.51	112.63
_D:	0	146	0.509779	128	0	33.0627	120.53	119.84
_D:	0	147	1.14445	143	0	34.2738	111.88	111.2
_D:	0	148	1.01101	151	0	34.4788	117.96	117.26
_D:	0	149	1.17275	143	0	34.3051	120.18	119.64
_D:	0	150	0.958776	123	0	33.9006	120.41	119.76
_D:	0	151	0.445652	97	0	32.8463	118.19	117.57
_D:	0	152	0.447168	93	0	33.233	115.78	115.14
_D:	0	153	0.34828	83	0	32.5129	120.49	119.85
_D:	0	154	0.273973	84	0	32.777	117.84	117.13
_D:	0	155	0.3326	88	0	33.287	123.06	122.37
_D:	0	156	0.236463	69	0	33.8094	119.59	118.84
_D:	0	157	0.166618	71	0	33.0443	118.12	117.46
_D:	0	158	0.183115	61	0	33.3083	113.18	112.55
_D:	0	159	0.172007	81	0	33.1302	121.84	121.06
_D:	0	160	0.369399	96	0	33.9698	114.79	114.16
_D:	0	161	0.25775	76	0	33.4952	120.38	119.62
_D:	0	162	0.226696	76	0	33.2917	112.95	112.35
_D:	0	163	0.188254	76	0	33.4886	122.25	121.46
_D:	0	164	0.121734	77	0	33.2896	125.96	125.28
_D:	0	165	0.252984	80	0	34.1524	123.66	122.91
_D:	0	166	0.257362	78	0	33.1808	115.68	115.05
_D:	0	167	0.205164	76	0	33.7932	120.39	119.68
_D:	0	168	0.197803	74	0	33.3622	121.28	120.53
_D:	0	169	0.245623	68	0	33.0027	120.23	119.54
_D:	0	170	0.231578	75	0	34.1431	117.7	117.04
_D:	0	171	0.191002	77	0	34.3531	119.92	119.29
_D:	0	172	0.139865	62	0	34.2946	113.9	113.31
_D:	0	173	0.194122	68	0	33.8445	120.57	119.83
_D:	0	174	0.142771	69	0	33.6072	123.07	122.33
_D:	0	175	0.208313	76	0	33.5798	118.3	117.53
_D:	0	176	0.121752	66	0	34.2142	125.71	125.06
