_H:	|batch	|epoch	%avg_sse	%cnt_err	%test_cnt_err	%test_avg_sse	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	390	0.20111	138	15	0.198984	41.504	6.92	6.88
_D:	0	391	0.172857	113	13	0.166328	41.4182	6.91	6.83
_D:	0	392	0.147576	96	16	0.214829	41.3574	6.92	6.82
_D:	0	393	0.195613	130	23	0.313661	41.3113	6.99	6.93
_D:	0	394	0.174531	113	18	0.24606	41.4552	6.96	6.89
_D:	0	395	0.170146	110	17	0.2255	41.0712	6.89	6.82
_D:	0	396	0.185746	120	23	0.303709	41.2122	6.94	6.81
_D:	0	397	0.158072	104	11	0.150981	41.1317	6.94	6.83
_D:	0	398	0.217762	134	16	0.218762	41.763	7.03	6.94
_D:	0	399	0.187634	123	21	0.278588	41.3314	7.03	6.96
