_H:	|batch	|epoch	%avg_sse	%cnt_err	%test_cnt_err	%test_avg_sse	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	89	0.273249	179	26	0.344168	37.804	6.53	6.44
_D:	0	90	0.287763	195	42	0.571588	38.0824	6.66	6.59
_D:	0	91	0.27333	175	35	0.475299	38.6825	6.5	6.42
_D:	0	92	0.253213	166	32	0.428363	38.1744	6.67	6.55
_D:	0	93	0.24064	165	50	0.65451	37.2988	6.44	6.39
_D:	0	94	0.252827	170	38	0.519737	37.7853	6.65	6.58
_D:	0	95	0.30339	189	53	0.728354	37.7941	6.56	6.49
_D:	0	96	0.248125	160	51	0.686917	38.1549	6.62	6.51
_D:	0	97	0.285751	190	46	0.614046	38.2403	6.52	6.44
_D:	0	98	0.290195	197	46	0.631012	38.0958	6.54	6.46
_D:	0	99	0.301212	204	38	0.504522	38.2795	6.63	6.54
_D:	0	100	0.325489	212	49	0.667788	38.9951	6.69	6.59
_D:	0	101	0.340063	223	48	0.650575	39.1812	6.55	6.48
_D:	0	102	0.269263	177	52	0.708528	38.2484	6.69	6.6
_D:	0	103	0.273205	178	35	0.477953	38.5638	6.6	6.54
_D:	0	104	0.32076	211	44	0.600859	38.7786	6.66	6.57
_D:	0	105	0.242838	159	39	0.534048	38.2343	6.5	6.42
_D:	0	106	0.28981	193	53	0.727861	38.0657	6.6	6.51
_D:	0	107	0.289557	186	33	0.446363	38.5049	6.63	6.54
_D:	0	108	0.256929	166	36	0.489719	38.6015	6.64	6.59
_D:	0	109	0.264672	165	26	0.3569	38.268	6.54	6.48
_D:	0	110	0.219421	141	49	0.665933	37.5782	6.48	6.4
_D:	0	111	0.26884	182	31	0.422526	37.9984	6.71	6.64
_D:	0	112	0.254093	163	41	0.560511	37.9299	6.42	6.32
_D:	0	113	0.280734	189	65	0.890635	38.3748	6.43	6.34
_D:	0	114	0.244573	161	64	0.842571	38.1242	6.74	6.63
_D:	0	115	0.250702	161	48	0.652013	38.0101	6.46	6.4
_D:	0	116	0.287669	186	32	0.416354	38.5493	6.58	6.54
_D:	0	117	0.241607	165	37	0.501163	38.3396	6.53	6.45
_D:	0	118	0.247211	158	28	0.382663	38.1407	6.51	6.44
_D:	0	119	0.250928	164	60	0.823578	37.7642	6.4	6.32
_D:	0	120	0.256653	171	35	0.48004	37.8098	6.64	6.56
_D:	0	121	0.247171	163	50	0.685562	38.3041	6.51	6.42
_D:	0	122	0.293324	189	41	0.551184	38.9427	6.66	6.56
_D:	0	123	0.264828	171	40	0.514819	38.0852	6.58	6.5
_D:	0	124	0.254066	164	48	0.650851	37.8557	6.9	6.83
_D:	0	125	0.237847	157	20	0.272758	38.6183	6.58	6.5
_D:	0	126	0.228388	150	67	0.922027	38.0485	6.39	6.31
_D:	0	127	0.266215	174	27	0.339936	38.0243	6.43	6.35
_D:	0	128	0.271167	176	39	0.534003	37.9594	6.55	6.48
_D:	0	129	0.274427	186	36	0.490478	37.8746	6.68	6.56
_D:	0	130	0.265772	174	39	0.533333	38.3203	6.44	6.39
_D:	0	131	0.279184	181	27	0.368326	38.1758	6.62	6.5
_D:	0	132	0.249063	168	49	0.660462	38.231	6.53	6.4
_D:	0	133	0.26011	171	37	0.507001	38.0715	6.41	6.33
_D:	0	134	0.229647	158	32	0.430751	37.7552	6.6	6.53
_D:	0	135	0.280159	185	26	0.355433	38.3331	6.45	6.35
_D:	0	136	0.269674	179	34	0.453125	38.6731	6.73	6.65
_D:	0	137	0.216283	139	42	0.57318	37.5214	6.56	6.48
_D:	0	138	0.273558	187	34	0.467407	38.1838	6.43	6.35
_D:	0	139	0.307565	203	43	0.579458	38.7854	6.55	6.47
_D:	0	140	0.242633	155	35	0.477416	38.014	6.57	6.49
_D:	0	141	0.28807	187	55	0.753382	38.7299	6.54	6.46
_D:	0	142	0.252471	158	36	0.492494	38.2867	6.57	6.48
_D:	0	143	0.268683	179	53	0.727202	38.5889	6.46	6.35
_D:	0	144	0.259596	170	44	0.606804	38.646	6.51	6.46
_D:	0	145	0.211829	139	34	0.4666	38.3993	6.7	6.62
_D:	0	146	0.266762	170	47	0.644287	38.4005	6.66	6.61
_D:	0	147	0.282934	178	39	0.534361	38.7692	6.59	6.49
_D:	0	148	0.279999	186	29	0.394202	37.8507	6.63	6.54
_D:	0	149	0.272047	180	29	0.397718	38.1453	6.66	6.59
_D:	0	150	0.252585	167	43	0.589385	38.0072	6.41	6.34
_D:	0	151	0.235159	152	30	0.413664	37.9894	6.62	6.54
_D:	0	152	0.280356	184	33	0.454484	38.1457	6.68	6.62
_D:	0	153	0.264698	177	37	0.50718	38.6604	6.57	6.49
_D:	0	154	0.236807	161	32	0.439275	38.0556	6.58	6.48
_D:	0	155	0.260941	173	39	0.51639	38.0194	6.7	6.65
_D:	0	156	0.254215	171	30	0.407033	38.065	6.45	6.38
_D:	0	157	0.291919	190	27	0.368152	38.1544	6.51	6.41
_D:	0	158	0.27298	177	35	0.477996	38.5033	6.73	6.65
_D:	0	159	0.270283	178	67	0.924138	38.4255	6.41	6.31
_D:	0	160	0.266891	173	31	0.416472	38.5373	6.75	6.65
_D:	0	161	0.273345	179	45	0.61412	38.8154	6.6	6.52
_D:	0	162	0.240354	164	49	0.672189	38.3425	6.63	6.53
_D:	0	163	0.23946	160	46	0.630728	38.4936	6.54	6.47
_D:	0	164	0.239513	155	51	0.698052	37.7795	6.69	6.61
_D:	0	165	0.230402	157	26	0.342273	38.8801	6.48	6.39
_D:	0	166	0.269955	178	35	0.478595	38.3653	6.69	6.65
_D:	0	167	0.228045	150	44	0.56187	37.7797	6.82	6.69
_D:	0	168	0.282715	188	32	0.438145	38.7128	6.68	6.64
_D:	0	169	0.282061	177	63	0.863642	38.081	6.88	6.83
_D:	0	170	0.271442	174	25	0.343399	38.0693	6.56	6.48
_D:	0	171	0.242271	154	68	0.929397	37.8304	6.53	6.48
_D:	0	172	0.256367	161	31	0.417739	38.0896	6.79	6.71
_D:	0	173	0.292025	192	48	0.657845	38.8407	6.82	6.73
_D:	0	174	0.258244	167	29	0.395065	38.6062	6.69	6.62
_D:	0	175	0.247319	158	40	0.549519	38.2756	6.55	6.5
